Iteration	Mach	Pressure [Pa]	Velocity [m/s]	Temperature [K]	Density [kg/m^3]	Speed of Sound [m/s]	Y_O2	Y_N2	Y_H2	Y_OH	Y_O	Y_H	Y_H2O	Y_NO	Y_N	Y_HO2	Y_H2O2	Y_HNO	Y_NO2	Mass flow rate [kg/s]	Area [m^2]	Axial location
0	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
1	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
2	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
3	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
4	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
5	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
6	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
7	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
8	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
9	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
10	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
11	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
12	0.577350	2.868173e+04	377.98	1133.95	8.739297e-02	654.68	0.209108	0.786645	0.004247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	132.131092	4.000000	0.000000
