Iteration	Mach	Pressure [Pa]	Velocity [m/s]	Temperature [K]	Density [kg/m^3]	Speed of Sound [m/s]	Y_O2	Y_N2	Y_H2	Y_OH	Y_O	Y_H	Y_H2O	Y_NO	Y_N	Y_HO2	Y_H2O2	Y_HNO	Y_NO2	Mass flow rate [kg/s]	Area [m^2]	Axial location
0	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
1	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
2	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
3	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
4	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
5	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
6	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
7	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
8	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
9	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
10	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
11	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
12	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
13	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
14	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
15	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
16	2.000000	5.949382e+04	1401.75	1311.94	1.564762e-01	700.87	0.208811	0.785529	0.005660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	877.359576	4.000000	0.000000
